bag_id,barcode,soak_id,n_readings,mon2,tof,Tch,temp_diag,T_channel,sig,sig_T,reading_offset_min,status,site,water_type,cbt,censored,t_utc,b_T,day,baseline,baseline_day,baseline_age_days,sig_TD,sample_group
B202605261044,50065,S016,4,416.5,38.0,30.9374695,30.9374695,temperature (board),5.506453944960415,5.741609539210415,0.3376,paired,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),33.0,False,2026-05-26 10:44:00+00:00,-0.0215,2026-05-26,5.259016482892435,2026-05-26,0,0.4825930563179801,G202605261044
B202605261046,50045,S016,1,537.0,33.0,25.367188,26.029205,sipm_temperature,5.905361848054571,6.02075639005457,-2.98359375,paired,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),33.0,False,2026-05-26 10:46:00+00:00,-0.0215,2026-05-26,5.866750683293772,2026-05-26,0,0.15400570676079806,G202605261044
B202605261046,50065,S016,4,451.5,38.0,30.7713015,30.7713015,temperature (board),5.63967635908274,5.87125934133274,0.32425833333333326,paired,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),33.0,False,2026-05-26 10:46:00+00:00,-0.0215,2026-05-26,5.259016482892435,2026-05-26,0,0.6122428584403048,G202605261044
B202605270836,50065,S018,4,327.5,38.0,33.87059,33.87059,temperature (board),5.059420419187637,5.36079268878427,0.24436666666666662,paired,LSC11525,Treated,0.0,False,2026-05-27 08:36:00+00:00,-0.0215,2026-05-27,5.474759820957615,2026-05-27,0,-0.11396713217334575,G202605270836
B202605270845,50045,S019,1,475.0,29.0,26.585938,28.161697,sipm_temperature,5.720311776607412,5.861909443607412,-1.21627605,paired,LSC11517,Treated,0.0,False,2026-05-27 08:45:00+00:00,-0.0215,2026-05-27,5.8904838564454645,2026-05-27,0,-0.02857441283805251,G202605270845
B202605270845,50065,S019,4,364.0,38.0,33.10771149999999,33.10771149999999,temperature (board),5.267858159063328,5.547265311313328,0.21901666666666664,paired,LSC11517,Treated,0.0,False,2026-05-27 08:45:00+00:00,-0.0215,2026-05-27,5.474759820957615,2026-05-27,0,0.07250549035571296,G202605270845
B202605270853,50065,S020,4,343.5,38.0,31.662551999999998,31.662551999999998,temperature (board),5.156173446856155,5.406918314856155,0.2223,paired,LSC15487,Treated,0.0,False,2026-05-27 08:53:00+00:00,-0.0215,2026-05-27,5.474759820957615,2026-05-27,0,-0.06784150610146078,G202605270853
B202605270903,50045,S021,1,457.0,29.0,25.632812,27.091675,sipm_temperature,5.659482215759621,5.780587673759621,-1.2448567833333333,paired,LSC15484,Treated,0.0,False,2026-05-27 09:03:00+00:00,-0.0215,2026-05-27,5.8904838564454645,2026-05-27,0,-0.10989618268584334,G202605270903
B202605270903,50065,S021,3,371.0,38.0,31.130066,31.130066,temperature (board),5.303304908059076,5.542601327059075,-0.30239999999999995,paired,LSC15484,Treated,0.0,False,2026-05-27 09:03:00+00:00,-0.0215,2026-05-27,5.474759820957615,2026-05-27,0,0.06784150610145989,G202605270903
B202605270920,50045,S023,1,841.0,29.0,24.132812,24.974289,sipm_temperature,6.508769136971682,6.597624594971682,-0.2515625,paired,LSC11469,Treated,0.0,False,2026-05-27 09:20:00+00:00,-0.0215,2026-05-27,5.8904838564454645,2026-05-27,0,0.7071407385262178,G202605270920
B202605270920,50065,S023,4,590.0,36.5,29.7339935,29.7339935,temperature (board),6.040243373280385,6.2495242335303836,0.11276666666666663,paired,LSC11469,Treated,0.0,False,2026-05-27 09:20:00+00:00,-0.0215,2026-05-27,5.474759820957615,2026-05-27,0,0.7747644125727682,G202605270920
B202605270930,50045,S024,1,511.0,29.0,24.054688,24.73259,sipm_temperature,5.831882477283517,5.919058269283517,1.7384765500000001,paired,LSC11558,Treated,0.0,False,2026-05-27 09:30:00+00:00,-0.0215,2026-05-27,5.8904838564454645,2026-05-27,0,0.02857441283805251,G202605270930
B202605270930,50065,S024,4,328.5,37.0,29.122207500000002,29.122207500000002,temperature (board),5.065749617623599,5.261877078873599,0.19354999999999997,paired,LSC11558,Treated,0.0,False,2026-05-27 09:30:00+00:00,-0.0215,2026-05-27,5.474759820957615,2026-05-27,0,-0.21288274208401603,G202605270930
B202605270939,50045,S025,1,549.0,29.0,24.882812,25.132904,sipm_temperature,5.937536205082426,6.042516663082426,-1.2611328166666667,paired,Kamonyi. EP Nyakabungo. Near new kitchen. Spring water tap,Source (untreated),0.0,False,2026-05-27 09:39:00+00:00,-0.0215,2026-05-27,5.8904838564454645,2026-05-27,0,0.15203280663696184,G202605270939
B202605270939,50065,S025,4,340.5,37.0,29.694977,29.694977,temperature (board),5.138730996776461,5.347173002276461,0.1776083333333333,paired,Kamonyi. EP Nyakabungo. Near new kitchen. Spring water tap,Source (untreated),0.0,False,2026-05-27 09:39:00+00:00,-0.0215,2026-05-27,5.474759820957615,2026-05-27,0,-0.12758681868115396,G202605270939
B202605270954,50045,S026,1,471.0,29.0,27.492188,28.121414,sipm_temperature,5.707110264748875,5.868192306748876,1.7327473833333333,paired,Kamonyi. EP Nyakabungo. Behind P3A classroom. Rain water tank,Source (untreated),0.0,False,2026-05-27 09:54:00+00:00,-0.0215,2026-05-27,5.8904838564454645,2026-05-27,0,-0.022291549696588753,G202605270954
B202605270954,50065,S026,4,345.0,38.0,30.8971705,30.8971705,temperature (board),5.1647859739235145,5.399075139673514,0.151625,paired,Kamonyi. EP Nyakabungo. Behind P3A classroom. Rain water tank,Source (untreated),0.0,False,2026-05-27 09:54:00+00:00,-0.0215,2026-05-27,5.474759820957615,2026-05-27,0,-0.075684681284101,G202605270954
B202605280814,50045,S027,1,559.0,29.0,27.28125,28.370667,sipm_temperature,5.963579343618446,6.120126218618446,2.7386718666666665,paired,Fake.Kicukiro.Amazi Meza warehouse.Kagina. Spring water,Source (untreated),0.0,False,2026-05-28 08:14:00+00:00,-0.0215,2026-05-28,5.8904838564454645,2026-05-27,1,0.2296423621729815,G202605280814
B202605280814,50065,S027,3,379.0,36.0,31.485077,31.485077,temperature (board),5.342334251964811,5.589263407464811,0.48035,paired,Fake.Kicukiro.Amazi Meza warehouse.Kagina. Spring water,Source (untreated),0.0,False,2026-05-28 08:14:00+00:00,-0.0215,2026-05-28,5.474759820957615,2026-05-27,1,0.11450358650719572,G202605280814
B202605280903,50065,S029,4,337.5,36.0,31.64621,31.64621,temperature (board),5.120978895910007,5.372698444910007,-0.04079166666666667,paired,Fake.Kicukiro. Amazi Meza warehouse.Kanengwa. Spring water,Source (untreated),0.0,False,2026-05-28 09:03:00+00:00,-0.0215,2026-05-28,5.474759820957615,2026-05-27,1,-0.10206137604760812,G202605280903
B202605280911,50045,S030,1,551.0,29.0,25.703125,26.565475,sipm_temperature,5.942799375126701,6.065416562626702,-0.2705078166666667,paired,Fake.Kicukiro.Amazi Meza warehouse.Iriba.Spring water,Source (untreated),5.0,False,2026-05-28 09:11:00+00:00,-0.0215,2026-05-28,5.8904838564454645,2026-05-27,1,0.17493270618123713,G202605280911
B202605280911,50065,S030,4,336.5,36.0,31.892914,31.892914,temperature (board),5.11499080038665,5.37068845138665,-0.04675833333333332,paired,Fake.Kicukiro.Amazi Meza warehouse.Iriba.Spring water,Source (untreated),5.0,False,2026-05-28 09:11:00+00:00,-0.0215,2026-05-28,5.474759820957615,2026-05-27,1,-0.10407136957096519,G202605280911
