start,end,n,soak_id
2026-06-09 08:27:49.947000+00:00,2026-06-09 08:34:49.319000+00:00,8,S073
2026-06-09 08:46:49.340000+00:00,2026-06-09 08:49:49.081000+00:00,4,S074
2026-06-10 07:26:51.409000+00:00,2026-06-10 07:33:48.294000+00:00,8,S075
2026-06-10 07:52:49.754000+00:00,2026-06-10 07:59:49.301000+00:00,8,S076
2026-06-10 09:32:24.296000+00:00,2026-06-10 09:40:23.952000+00:00,9,S077
2026-06-10 10:44:00.519000+00:00,2026-06-10 10:55:57.852000+00:00,13,S078
2026-06-10 11:07:57.129000+00:00,2026-06-10 11:16:55.474000+00:00,10,S079
2026-06-10 11:22:57.318000+00:00,2026-06-10 11:28:55.856000+00:00,7,S080
2026-06-11 08:22:54.675000+00:00,2026-06-11 08:22:54.675000+00:00,1,S081
2026-06-11 08:27:53.960000+00:00,2026-06-11 08:31:53.607000+00:00,5,S082
2026-06-11 08:48:53.610000+00:00,2026-06-11 08:57:52.265000+00:00,10,S083
2026-06-11 09:09:52.410000+00:00,2026-06-11 09:14:52.037000+00:00,6,S084
2026-06-11 09:23:51.587000+00:00,2026-06-11 09:31:50.756000+00:00,9,S085
