sample_local,site,water_type,cbt,past_detect,chlorine,enumerator,submitted,tz_sample,tz_survey,barcodes,cbt_recorded,batch,tz_survey_used,tz_imputed,t_utc,shift_min,censored,bag_id,soak_id,sample_group
2026-06-04 09:56:00,,Source (untreated),100.0,True,0,E1,2026-06-06 08:24:16,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),['50065'],100.0,9,UTC+03:00 East Africa Time (Kenya),False,2026-06-04 09:56:00+00:00,0,True,B202606040956,S069,G202606040954
2026-06-04 09:58:00,,Source (untreated),100.0,True,0,E1,2026-06-06 08:25:03,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),['50065'],100.0,9,UTC+03:00 East Africa Time (Kenya),False,2026-06-04 09:58:00+00:00,0,True,B202606040958,S069,G202606040954
2026-06-02 07:48:00,Turkana.Loima.Turkwel.Lorgum.100m near church.Concrete fixed public stand Tap 2,Treated,0.0,False,0.25,E1,2026-06-10 19:13:56,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),['50065'],0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-02 07:48:00+00:00,0,False,B202606020748,S052,G202606020748
2026-06-02 08:00:00,Turkana.Loima.Turkwel.Lorgum.100m near church.Concrete fixed public stand Tap 2,Treated,0.0,False,0.25,E1,2026-06-10 19:15:43,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),['50065'],0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-02 08:00:00+00:00,0,False,B202606020800,S053,G202606020800
2026-06-02 08:18:00,Turkana.Loima.Turkwel.Lorgum.Aqutab inline chlorine unit,Treated,0.0,False,25,E1,2026-06-10 19:17:16,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),['50065'],0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-02 08:18:00+00:00,0,False,B202606020818,S054,G202606020818
2026-06-02 08:43:00,,Treated,0.0,False,0,E1,2026-06-10 19:18:29,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),['50065'],0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-02 08:43:00+00:00,0,False,B202606020843,S055,G202606020843
2026-06-02 09:04:00,Turkana.Loima.Turkwel.Lorgum.East of treatement.Concrete fixed Public Stand Tap 4,Treated,0.0,False,0.25,E1,2026-06-10 19:19:43,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),['50065'],0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-02 09:04:00+00:00,0,False,B202606020904,S056,G202606020904
2026-06-02 09:16:00,Turkana.Loima.Turkwel.Lorgum.Nearest to 32m3 steel tank.Concrete fixed Public Stand Tap 1,Treated,0.0,False,0.25,E1,2026-06-10 19:20:47,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),['50065'],0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-02 09:16:00+00:00,0,False,B202606020916,S057,G202606020916
2026-06-02 10:16:00,Turkana.Loima.Turkwel.Lorgum.Behind grass roof house.Concrete fixed Public Stand Tap 3,Treated,0.0,False,0.25,E1,2026-06-10 19:21:49,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),['50065'],0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-02 10:16:00+00:00,0,False,B202606021016,S058,G202606021016
2026-06-02 10:28:00,Turkana.Loima.Turkwel.Lorgum.100m near church.Concrete fixed public stand Tap 2,Treated,0.0,False,0.25,E1,2026-06-10 19:22:55,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),['50065'],0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-02 10:28:00+00:00,0,False,B202606021028,S059,G202606021028
