Deployment,Enumerator > Username,Submitted On,Water Sampling Site > Name,Date and time of water sample ,Lume Barcode,Second Lume Barcode,Replicate 1: E Coli CFU / 100 ,Replicate 1: Total Coliform CF,In what timezone was the sampl,Type of Enumeration,Is the enumeration past detect,Type of Water,In what timezone was this surv,Chlorine residual concentratio
Lume 1.2 - 2026,E1,2026-06-02 14:22:47,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,2026-05-30 12:21:00,50065,50045,100,,UTC+02:00 Central Africa Time (Rwanda),CBT,Yes ( > 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),
Lume 1.2 - 2026,E1,2026-06-02 14:24:03,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,2026-05-30 12:28:00,50065,50045,100,,UTC+02:00 Central Africa Time (Rwanda),CBT,Yes ( > 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),
Lume 1.2 - 2026,E1,2026-06-02 14:27:19,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,2026-05-30 13:12:00,50065,50045,100,,UTC+02:00 Central Africa Time (Rwanda),CBT,Yes ( > 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),
Lume 1.2 - 2026,E1,2026-06-02 14:28:21,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,2026-05-30 13:04:00,50065,50045,100,,UTC+02:00 Central Africa Time (Rwanda),CBT,Yes ( > 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),
Lume 1.2 - 2026,E1,2026-06-02 14:30:18,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,2026-05-30 13:26:00,50065,50045,100,,UTC+02:00 Central Africa Time (Rwanda),CBT,Yes ( > 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),
Lume 1.2 - 2026,E1,2026-06-02 14:31:09,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,2026-05-30 13:33:00,50065,50045,100,,UTC+02:00 Central Africa Time (Rwanda),CBT,Yes ( > 100 CFU/100 mL),Source (untreated),,
Lume 1.2 - 2026,E1,2026-06-04 06:36:13,,2026-06-01 07:43:00,50065,,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),
Lume 1.2 - 2026,E1,2026-06-04 06:37:08,,2026-06-01 07:57:00,50065,,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),
Lume 1.2 - 2026,E1,2026-06-04 06:38:39,,2026-06-01 08:04:00,50065,,100,,UTC+03:00 East Africa Time (Kenya),CBT,Yes ( > 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),
Lume 1.2 - 2026,E1,2026-06-04 06:40:08,,2026-06-01 08:18:00,50065,,14,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),
Lume 1.2 - 2026,E1,2026-06-04 06:41:45,,2026-06-01 08:26:00,50065,,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),
