record_id,sample_group,sensor,sample_time_local,sample_time_utc,site_name,water_type,country,cbt_mpn_per_100ml,cbt_censored,chlorine_residual_mg_l,sensor_mon2,sensor_tof_kcps,sensor_temperature_c,temperature_channel,F_corrected_fluorescence,B_log_tof_ratio,baseline_age_days,pred_log10_new_sensor_new_day,pred_log10_day_held_out
B202605290928,G202605290928,50065,2026-05-29 09:28:00,2026-05-29 09:28:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,Source (untreated),Rwanda,100.0,True,,516.0,49.0,30.065094,temperature (board),0.6500894391897916,0.2368423956723717,2,2.004321373782642,1.68594197907378
B202605290936,G202605290936,50045,2026-05-29 09:36:00,2026-05-29 09:36:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,Source (untreated),Rwanda,100.0,True,,634.0,38.0,26.226562,sipm_temperature,0.3832717787807906,0.2702903297399117,2,1.3092900351889891,1.639336347655742
B202605290936,G202605290936,50065,2026-05-29 09:36:00,2026-05-29 09:36:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,Source (untreated),Rwanda,100.0,True,,498.5,45.0,31.9923705,temperature (board),0.6396269650254407,0.1516845873320649,2,1.7382806430039328,1.3028840088037514
B202605290948,G202605290948,50045,2026-05-29 09:48:00,2026-05-29 09:48:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,Source (untreated),Rwanda,100.0,True,,718.0,46.0,26.03125,sipm_temperature,0.5454633055025511,0.461345566502621,2,1.9485848699968968,2.004321373782642
B202605290948,G202605290948,50065,2026-05-29 09:48:00,2026-05-29 09:48:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,Source (untreated),Rwanda,100.0,True,,642.0,54.0,32.251709000000005,temperature (board),1.0076460487862384,0.3340061441260194,2,2.004321373782642,2.004321373782642
B202605301205,G202605301205,50045,2026-05-30 12:05:00,2026-05-30 13:05:00+00:00,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,Source (untreated),Rwanda,100.0,True,,810.0,48.0,28.203125,sipm_temperature,0.7473515074082533,0.5039051809214169,3,2.004321373782642,2.004321373782642
B202605301205,G202605301205,50065,2026-05-30 12:05:00,2026-05-30 13:05:00+00:00,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,Source (untreated),Rwanda,100.0,True,,729.5,53.0,33.31543,temperature (board),1.2315845689818348,0.3067302674224754,3,2.004321373782642,2.004321373782642
B202605301221,G202605301221,50045,2026-05-30 12:21:00,2026-05-30 13:21:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,Source (untreated),Rwanda,100.0,True,,577.0,35.0,28.914062,sipm_temperature,0.3099816619971305,0.1880522315029396,3,1.1566666500254177,1.3294681583203487
B202605301221,G202605301221,50065,2026-05-30 12:21:00,2026-05-30 13:21:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,Source (untreated),Rwanda,100.0,True,,395.5,39.0,30.75241,temperature (board),0.2677574057681857,0.0,3,0.5074708208482621,0.3799116592344457
B202605301228,G202605301228,50045,2026-05-30 12:28:00,2026-05-30 13:28:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,Source (untreated),Rwanda,100.0,True,,554.0,35.0,27.664062,sipm_temperature,0.2249360291422624,0.1880522315029396,3,1.0944908712441763,1.2596358026018146
B202605301228,G202605301228,50065,2026-05-30 12:28:00,2026-05-30 13:28:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,Source (untreated),Rwanda,100.0,True,,416.0,39.0,33.31543,temperature (board),0.4098761709621943,0.0,3,0.7483688102338831,0.484554749855587
B202605301304,G202605301304,50045,2026-05-30 13:04:00,2026-05-30 14:04:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,Source (untreated),Rwanda,100.0,True,,698.0,42.0,27.078125,sipm_temperature,0.5307921147607972,0.3703737882968942,3,2.004321373782642,2.004321373782642
B202605301326,G202605301326,50045,2026-05-30 13:26:00,2026-05-30 14:26:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,Source (untreated),Rwanda,100.0,True,,763.0,47.0,26.421875,sipm_temperature,0.6327808550522613,0.4828517717235845,3,2.004321373782642,2.004321373782642
