observation_id,barcode,site_name,sample_date,water_type,cbt_ecoli_cfu,cbt_censored,sensor_mon2_raw,sensor_tof_raw,water_temp_c,mon2c_baseline_subtracted,mon2c_normalized,tof_normalized,predicted_log10_cfu_insample,predicted_log10_cfu_loocv,loocv_agreement,who_risk_true,who_risk_predicted
65,50065,Fake.Kicukiro.Amazi Meza warehouse.Iriba.Spring water,2026-05-28 09:11:00,Source (untreated),5,FALSE,336.0,36.000,31.84,336.00,32.00,-3.000,0.5675,0.5649,TRUE,Low,Low
66,50045,Fake.Kicukiro.Amazi Meza warehouse.Iriba.Spring water,2026-05-28 09:11:00,Source (untreated),5,FALSE,551.0,29.000,26.57,551.00,67.00,0.000,1.2053,1.2231,TRUE,Low,Intermediate
67,50065,Fake.Kicukiro.Amazi Meza warehouse.Inindi House.Rainwater tank,2026-05-28 09:52:00,Source (untreated),0,FALSE,416.0,39.000,29.90,416.00,112.00,0.000,1.4496,1.5379,FALSE,Conformity,Intermediate
68,50045,Fake.Kicukiro.Amazi Meza warehouse.Inindi House.Rainwater tank,2026-05-28 09:52:00,Source (untreated),0,FALSE,534.0,31.000,26.84,534.00,50.00,2.000,1.0327,1.0641,FALSE,Conformity,Intermediate
69,50065,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,2026-05-29 08:43:00,Source (untreated),100,TRUE,380.0,39.000,32.16,380.00,76.00,0.000,1.1115,1.0734,FALSE,Very high,Intermediate
70,50045,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,2026-05-29 08:43:00,Source (untreated),100,TRUE,660.0,31.000,29.19,660.00,176.00,2.000,2.0043,2.0043,TRUE,Very high,Very high
71,50065,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,2026-05-29 08:54:00,Source (untreated),100,TRUE,382.0,39.000,34.08,382.00,78.00,0.000,1.2164,1.1729,TRUE,Very high,Intermediate
72,50045,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,2026-05-29 08:54:00,Source (untreated),100,TRUE,769.0,38.000,27.24,769.00,285.00,9.000,2.0043,2.0043,TRUE,Very high,Very high
73,50065,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,2026-05-29 09:01:00,Source (untreated),100,TRUE,627.0,50.000,33.55,627.00,323.00,11.000,2.0043,2.0043,TRUE,Very high,Very high
74,50045,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,2026-05-29 09:01:00,Source (untreated),100,TRUE,769.0,38.000,27.24,769.00,285.00,9.000,2.0043,2.0043,TRUE,Very high,Very high
